idx	sing	plur	freq	inVocabs
_	disgraces	disgrace	_	0
_	disgruntles	disgruntle	_	0
_	disguises	disguise	_	0
_	disgusts	disgust	_	0
_	dishes	dish	_	1
_	dishevels	dishevel	_	0
_	dishonors	dishonor	_	0
_	disillusions	disillusion	_	0
_	disintegrates	disintegrate	_	0
_	disinterests	disinterest	_	0
_	dislikes	dislike	_	0
_	dislocates	dislocate	_	0
_	dislodges	dislodge	_	0
_	dismantles	dismantle	_	0
_	dismays	dismay	_	0
_	dismembers	dismember	_	0
_	dismisses	dismiss	_	0
_	dismounts	dismount	_	0
_	disobeys	disobey	_	0
_	disorders	disorder	_	1
_	disorientates	disorientate	_	0
_	disowns	disown	_	0
_	disparages	disparage	_	0
_	dispatches	dispatch	_	0
_	dispels	dispel	_	0
_	dispenses	dispense	_	0
_	disperses	disperse	_	0
_	displaces	displace	_	0
_	displays	display	_	1
_	displeases	displease	_	0
_	disposes	dispose	_	0
_	dispossesses	dispossess	_	0
_	disproves	disprove	_	0
_	disputes	dispute	_	1
_	disqualifies	disqualify	_	0
_	disregards	disregard	_	0
_	disrespects	disrespect	_	0
_	disrupts	disrupt	_	0
_	dissatisfies	dissatisfy	_	0
_	dissects	dissect	_	0
_	disseminates	disseminate	_	0
_	dissipates	dissipate	_	0
_	dissociates	dissociate	_	0
_	dissolves	dissolve	_	0
_	dissuades	dissuade	_	0
